                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.1569,                0.70347,                 1.3812,                0.97405,                0.98709,                0.99201,                0.73829,                0.89532,                0.54867,                 1.2731,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.1767,                0.68135,                 1.3465,                0.95783,                0.99167,                0.99124,                0.75277,                0.88777,                 0.5314,                 1.2287,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.1396,                0.67601,                 1.3792,                0.97624,                0.98807,                0.99059,                0.71779,                0.94138,                0.58347,                 1.2734,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.1597,                0.67335,                 1.3384,                0.97526,                0.98938,                0.99146,                0.71273,                 1.0036,                0.60775,                  1.358,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.1684,                0.67217,                 1.3978,                0.97843,                 0.9938,                0.99154,                0.73454,                 0.9023,                0.53734,                 1.2335,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.1733,                0.67598,                 1.3732,                0.97354,                0.98975,                0.99227,                0.73603,                0.89745,                0.56771,                 1.2471,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.1514,                0.65761,                 1.3692,                0.96853,                0.98756,                0.99208,                0.74863,                0.86174,                0.51835,                 1.2222,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.1619,                0.67344,                 1.3544,                 0.9842,                0.98123,                0.99179,                0.73232,                0.91944,                0.53885,                 1.2556,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.1735,                0.67427,                 1.3608,                 0.9792,                0.98458,                 0.9905,                0.73534,                0.86043,                0.53962,                  1.237,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.0883,                0.66443,                  1.371,                0.97254,                 0.9865,                0.99147,                0.73258,                0.85878,                0.53763,                 1.2162,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.1335,                0.68688,                 1.3487,                0.97418,                 0.9826,                0.99168,                0.73225,                0.91292,                0.52779,                 1.2535,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.1539,                0.64754,                 1.3607,                0.97756,                0.98954,                0.99211,                 0.7529,                0.87127,                0.51116,                 1.2358,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.0998,                0.65196,                 1.3547,                0.98382,                0.98483,                0.99249,                0.74871,                0.87379,                 0.5042,                 1.2255,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.1156,                 0.6289,                  1.326,                0.97826,                0.99406,                0.99208,                0.74736,                0.84057,                0.49729,                 1.2032,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.1092,                0.63747,                 1.3536,                0.97829,                0.99627,                0.99267,                0.75333,                0.87394,                0.49588,                 1.2136,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.1649,                0.64241,                 1.3326,                0.97075,                0.99529,                0.99264,                0.72106,                0.93544,                  0.515,                 1.2681,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.1238,                 0.6209,                 1.2995,                 0.9743,                0.99649,                0.99197,                0.75026,                0.87157,                0.49146,                 1.1972,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.1316,                0.62998,                  1.311,                0.97449,                 0.9976,                0.99105,                0.75284,                 0.8602,                0.48507,                 1.2242,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.1058,                0.62254,                 1.3404,                0.97617,                 0.9988,                0.99236,                0.76114,                0.84063,                0.48211,                 1.1961,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.1405,                0.61804,                 1.3088,                0.97334,                0.99663,                0.99233,                0.75695,                0.86962,                0.48848,                 1.2096,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.1276,                0.63005,                 1.3327,                0.96997,                0.99994,                0.99305,                0.76929,                0.81116,                 0.4734,                 1.1864,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.1058,                0.62622,                 1.3342,                0.97959,                0.99464,                0.99311,                0.76198,                0.82678,                0.46639,                 1.1932,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.1199,                0.60679,                  1.305,                0.98052,                0.99417,                0.99302,                0.75896,                0.83421,                 0.4759,                 1.1947,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.0678,                0.59072,                 1.3258,                0.97852,                 0.9945,                0.99236,                0.76997,                0.82449,                0.47052,                 1.1977,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.0976,                 0.5995,                 1.2723,                 0.9799,                0.99275,                0.99262,                0.77231,                0.80222,                0.45315,                 1.1798,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.0856,                0.60597,                 1.2977,                0.98256,                0.98995,                0.99223,                0.75702,                0.83312,                0.47582,                 1.1923,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.0779,                0.60007,                 1.3039,                0.98282,                 0.9965,                0.99252,                0.76751,                 0.8184,                0.45387,                 1.1925,             0.00021471,             0.00021471,             0.00021471
                     91,                0.97737,                 0.5706,                 1.2473,                 0.9777,                      1,                0.99266,                0.76643,                0.81032,                0.46628,                  1.179,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.0045,                0.54883,                 1.2458,                0.98617,                0.99186,                0.99323,                0.76038,                0.83099,                0.49066,                 1.1886,              0.0001817,              0.0001817,              0.0001817
                     93,                0.98603,                0.56115,                 1.2505,                0.98629,                0.99764,                0.99261,                0.75403,                0.81603,                0.46943,                 1.1938,              0.0001652,              0.0001652,              0.0001652
                     94,                0.98283,                0.54279,                 1.2438,                 0.9876,                0.99506,                0.99259,                0.77128,                0.80489,                0.45951,                 1.1738,              0.0001487,              0.0001487,              0.0001487
                     95,                  1.007,                0.53754,                 1.2268,                0.98316,                0.99161,                0.99304,                0.77015,                0.80913,                0.45396,                  1.176,             0.00013219,             0.00013219,             0.00013219
                     96,                0.94601,                0.53004,                 1.2373,                0.98212,                0.99822,                0.99325,                0.76408,                0.80598,                0.45388,                 1.1729,             0.00011569,             0.00011569,             0.00011569
                     97,                0.94517,                0.52176,                 1.2118,                0.98226,                0.99685,                0.99297,                0.75776,                0.80519,                0.45147,                 1.1676,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.92395,                0.50331,                 1.1962,                0.98419,                 0.9976,                0.99312,                0.76769,                0.78532,                0.44096,                  1.161,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 0.8947,                0.50586,                  1.209,                0.98322,                 0.9979,                0.99343,                0.77334,                0.78367,                0.43825,                 1.1649,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.92457,                0.50955,                 1.2205,                0.98496,                 0.9976,                0.99344,                0.77656,                0.78816,                0.43561,                 1.1595,             4.9677e-05,             4.9677e-05,             4.9677e-05
